place_id,keywords
ChIJWfZUVq6pQjQR3Z-1OU8ILgo,"['房間', '00', '飯店', '入住', '貴飯', '服務人員', '不會', '問題', '協助', '冷氣']"
ChIJ5yAlZ5WpQjQRp-Ji8fajYnU,"['浴缸', '房間', '飯店', '有點', '夜市', '人員', '旁邊', '很棒', '隔音', '早餐']"
ChIJJVBTsHGpQjQRSW5Eeq6-HI4,"['服務', '這個', '飯店', '詢問', '餐點', '活動', '客服', '早餐', '貴飯', '服務態度']"
ChIJTfdjRHupQjQRiinERf4KZAI,"['房間', '沒有', '入住', '噪音', '旁邊', '整潔', '酒店', '浴室', '店家', '還有']"
ChIJoZA6fH-pQjQRUKdnFVGUdbo,"['服務', '大安', '浴缸', '房間', '不錯', '入住', '雖然', '公園', '捷運站', '沒有']"
ChIJNy0ELm-pQjQRFlf3U1l88nM,"['入住', '早餐', '酒店', '相當', '免費', '房間', '選擇', '客房', '方便', '浴缸']"
ChIJUSYnwDKqQjQRanXaUWL2qOE,"['00', '隔音', '米其林', '房間', '沒有', '退房', 'bar', '樓層', '飯店', '這次']"
ChIJZ3Bl622pQjQRfIywJYwRxhw,"['房間', '方便', '問題', '隱密', '服務', '空間', '地點', '無法', '服務員', '絕對']"
ChIJ15tx4n-pQjQRT5GdFPf0oHc,"['房間', '還有', '乾淨', '沒有', '服務人員', '公園', '飯店', '可以', '大安', '方便']"
ChIJ4TtsHVCpQjQRKIaRs8apzX0,"['人員', '因為', '餐廳', '處理', '體驗', '服務業', '歐式', '觀望', '領隊', '感覺']"
ChIJj2cHfIKpQjQRDQ-EuY-iF0Q,"['房間', '飯店', '一個', '選擇', '入住', '早餐', '非常', '整個', '覺得', '貼心']"
ChIJCf8Wjt2rQjQRybg0xvVg0YU,"['飯店', '早餐', '服務', '房間', '問題', '非常', '入住', '酒店', '女服', '個資']"
ChIJm2fg1FqpQjQRuu4b9g7Ev-E,"['分鐘', '房間', '飯店', '酒店', '早餐', '中山', '晴美', 'Jolley', 'Hotel', '不過']"
ChIJB5u9VbavQjQR446qQaYo1Vg,"['房間', '因為', '經理', '房門', '伴侶', '覺得', '浴室', '還有', '人員', '設備']"
ChIJ4yFyeYauQjQRNa7lcVQ9cfU,"['房間', '早餐', '喜歡', '舒適', '天母', '一樓', '東西', '乾淨', '缺點', '這是']"
ChIJ6zx5mH6uQjQRgdxr16hJWxw,"['不會', '還有', '飯店', '服務', '算是', '早餐', '舒適', '菜色', '味道', '陽台']"
ChIJu-3mxF6pQjQRqIx9jPaTi94,"['反應', '這樣', '聲音', '櫃台', '很棒', '早餐', '房間', '飯店', '三樓', '沒有']"
ChIJB2wtReqrQjQRh7kHjJ5vUYs,"['早餐', '房間', '乾淨', '飯店', '沒有', '地點', '非常', '選擇', '這次', '鈴薯']"
ChIJl8URFMqrQjQRRZt8Kh7-hTM,"['房間', '隔音', '比較', '聲音', '這次', '因為', '這間', '乾淨', '環境', 'Netflix']"
ChIJc_q6QBUCaDQRVcxoORyO9co,"['...', '飯店', '入住', '房間', '因為', '確認', '....', '傻眼', '服務', '已經']"
ChIJNdRB6KapQjQRjO73iPgj3Vw,"['房間', '飯店', '早餐', '一點', '舒適', '花園', '服務', '不錯', '整體', '住宿']"
ChIJdbDSjX6pQjQRJ5wn_FvwLYI,"['飯店', '房間', '沒有', '熱水', '因為', '聽到', '時候', '結果', '處理', '滿房']"
ChIJGQEDxQupQjQRoPYLg8zGh64,"['房間', '沒有', '浴缸', '斷電', '早餐', '隔音', '真的', '什麼', '飯店', '這邊']"
ChIJGcF_XAupQjQRqBy-_4MYwG4,"['房間', '因為', '優點', '餅乾', '缺點', '這個', '問題', '服務人員', '親切', '選擇']"
ChIJvVB1v0apQjQRRIK-G1haUW8,"['酒店', '房間', '沒有', '入住', '整個', '霉味', '房卡', '飯店', '時間', '處理']"
ChIJzQVd51qpQjQRbQ1F054MGUQ,"['服務', '房間', '飯店', '覺得', '整體', '機器', '設備', '乾淨', '入住', '空間']"
ChIJr1-YguirQjQRRWHTI5QGq28,"['飯店', '房間', '入住', '前台', '設計', '餐廳', '經理', '職員', '早餐', '他們']"
ChIJY46ueUKpQjQRyHwqhGjT10o,"['房間', '分鐘', '人員', '雖然', '沒有', '不會', '光臨', '地點', '非常', '出來']"
ChIJ6bP4vhOpQjQR5LfRWNf-xaQ,"['房間', '歐胖', '黑膠', '還有', '大稻', '咖啡', '喜歡', '老屋', '可以', '迪化街']"
ChIJ9f44eUKpQjQRTXCWM5zX2Fs,"['旅館', '房間', '沒有', '飯店', '防疫', '服務人員', '親切', '乾淨', 'CP', '一個']"
ChIJRS9H_GypQjQRBQDc2BGYPks,"['房間', '服務', '服務人員', '入住', '親切', '結果', '旁邊', '三館', '客人', '選擇']"
ChIJs3B2GkWpQjQRL-ENt1VzTE0,"['房間', '浴室', '飯店', '地點', '乾淨', '隔音', '分鐘', '適中', '冷氣', '備品']"
ChIJm0NWXaepQjQRkKp0drfkHvg,"['房間', '喜歡', '一個', '乾淨', '方便', '浴缸', '適合', '他們', '裝潢', '收納']"
ChIJpyyYMg2pQjQR2VkATKYBpqo,"['房間', '隔音', '車站', '還有', '這家', '不過', '感覺', '吵吵', '友人', '住宿']"
ChIJcb4VjUapQjQR0TZUUHG4LMQ,"['房間', '隔音', '樓層', '入住', '分鐘', '浴缸', '因為', '浴室', '酒店', '早餐']"
ChIJuVhz80zr3TURk2SfPsoWvBk,[]
ChIJt9Kj-YTr3TUR6XmN4zhFq3I,"['酒店', '新开业', '星级', '邢台', '五星级', '热情', '位置', '服务']"
ChIJ1UiBPeDq3TURVq7n4AAwKcw,[]
ChIJZxzSV0fr3TURqxSxl05HtLU,[]
ChIJ3yXN_Rjr3TURNXISQNqkyDY,[]
ChIJ8wMLnVrq3TUR4PLgIXXTmII,"['60', '火鍋', '不可', '形式', '日本', '出来']"
ChIJKU38WRjr3TURnl4oiZN8kcE,"['喜歡', '這裡', '乾淨', '房間', '服务态度', '舒适']"
ChIJI5bZKPzq3TURIkB44aAzuq8,[]
ChIJ_5hbJ1zq3TUR1GRZN40Z7tE,[]
ChIJCdKPJN_q3TURVKEsEbu0rLc,[]
